run_id,version,time_limit_sec,drop_penalty,frozen_dry_penalty,vehicle_fixed_cost,wait_cost_coeff,dispatch_rate,total_km,total_time_min,travel_min,wait_min,wait_rate,used_vehicles,dropped,objective
0,before,10,10000000,10000000,240000,200,0.98,2099.2436999999995,1944,1879,65,0.03343621399176955,5,1,13700204
0,after,10,10000000,10000000,556058,0,0.98,2007.2646999999997,2141,1790,351,0.16394208313872022,4,1,14231458
1,before,10,10000000,10000000,240000,200,0.94,1448.8523,1298,1290,8,0.0061633281972265025,4,3,32668413
1,after,10,10000000,10000000,556058,0,0.94,1270.5006,1613,1141,472,0.2926224426534408,4,3,33494688
2,before,10,10000000,10000000,240000,200,0.98,1474.4545000000003,1450,1320,130,0.0896551724137931,4,1,12727415
2,after,10,10000000,10000000,556058,0,0.98,1483.8726999999992,1814,1323,491,0.27067254685777287,4,1,13708068
3,before,10,10000000,10000000,240000,200,1.0,2293.9137000000005,1960,1960,0,0.0,4,0,3658871
3,after,10,10000000,10000000,556058,0,1.0,2394.4937999999997,2388,2046,342,0.14321608040201006,4,0,4618681
4,before,10,10000000,10000000,240000,200,0.94,2422.0802000000003,2167,2128,39,0.01799723119520074,4,3,33828842
4,after,10,10000000,10000000,556058,0,0.94,2410.6157000000003,2496,2079,417,0.16706730769230768,4,3,34634811
5,before,10,10000000,10000000,240000,200,0.96,3350.2840000000015,2875,2826,49,0.017043478260869566,6,2,25370049
5,after,10,10000000,10000000,556058,0,0.96,3262.8129000000013,3179,2762,417,0.13117332494495124,6,2,26599123
6,before,10,10000000,10000000,240000,200,0.96,2506.684299999999,2206,2184,22,0.009972801450589302,5,2,24166242
6,after,10,10000000,10000000,556058,0,0.96,2647.5757000000003,2928,2309,619,0.2114071038251366,6,2,25983883
7,before,10,10000000,10000000,240000,200,0.98,2527.1895,2278,2194,84,0.03687445127304653,5,1,14182752
7,after,10,10000000,10000000,556058,0,0.98,2568.2562,2582,2234,348,0.13477924089852827,5,1,15348504
8,before,10,10000000,10000000,240000,200,0.98,1959.4066,1733,1724,9,0.0051933064050779,4,1,13265966
8,after,10,10000000,10000000,556058,0,0.98,1783.1602,2112,1603,509,0.24100378787878787,4,1,14007350
9,before,10,10000000,10000000,240000,200,0.96,2536.6145,2224,2152,72,0.03237410071942446,5,2,24183576
